14,"The Good, The Bad, & The Ugly",A bounty hunting scam joins two men in an uneasy alliance against a third in a race to find a fortune in gold buried in a remote cemetery.,6,2,,f
16,Fight Club,An insomniac office worker and a devil-may-care soap maker form an underground fight club that evolves into much more.,7,3,,f
17,Bullet Train,Five assassins aboard a swiftly-moving bullet train find out that their missions have something in common.,11,6,,t
18,Gladiator,A former Roman General sets out to exact vengeance against the corrupt emperor who murdered his family and sent him into slavery.,9,6,,t
19,Spider-Man: Into the Spider-Verse,Teen Miles Morales becomes the Spider-Man of his universe and must join with five spider-powered individuals from other dimensions to stop a threat for all realities.,10,7,,f
6,Django Unchained,"With the help of a German bounty-hunter, a freed slave sets out to rescue his wife from a brutal plantation owner in Mississippi.",5,2,,t
11,The Shawshank Redemption,"Over the course of several years, two convicts form a friendship, seeking consolation and, eventually, redemption through basic compassion.",3,3,,f
15,Interstellar,"When Earth becomes uninhabitable in the future, a farmer and ex-NASA pilot, Joseph Cooper, is tasked to pilot a spacecraft, along with a team of researchers, to find a new planet for humans.",8,5,,t
20,The Martian," portrays astronaut Mark Watney (Matt Damon) stranded on Mars after a storm. Using his ingenuity to survive, he endeavors to signal Earth for rescue while facing immense challenges in the harsh, isolated environment.",9,5,,f
